Name,URL,Building_Location,Location,Region,Independency,Job_opportunities,Colloquiums,OCW,latitude,longitude
University Of Science And Technology Of China,https://en.physics.ustc.edu.cn/7872/listm.htm,,"1129 Huizhou Ave, Baohe District, Hefei, Anhui, China, 230052",,,,,,31.82196663,117.2805042
Johns Hopkins University,https://physics-astronomy.jhu.edu,"Department of Physics & Astronomy, Bloomberg Center for Physics and Astronomy, Room 366
3400 N. Charles Street, Baltimore, MD 21218","Baltimore, MD 21218, United States","Cosmology,Black Holes & High Energy Astrophysics,The Formation and Evolution of Galaxies,Exoplanets,Data-Intensive Science,Instrumentation,Theoretical Astrophysics",No,https://physics-astronomy.jhu.edu/about/jobs/,,,39.2908816,-76.610759
Rwth Aachen University,https://www.physik.rwth-aachen.de/cms/Physik/Forschung/~jmd/Forschungsthemen/lidx/1/,,"Templergraben 55, 52062 Aachen, Germany",Astroparticle Physics and Cosmology,No,https://www.physik.rwth-aachen.de/cms/Physik/Footer/Service/~jnq/Stellenangebote/lidx/1/,,,50.77996512,6.065556383
University Of Wisconsin-Madison,http://www.astro.wisc.edu,"DEPARTMENT OF ASTRONOMY
2535 Sterling Hall
475 N. Charter Street
Madison, WI 53706-1507","Madison, WI, United States","Stars & Stellar Systems,Plasma Astrophysics,Interstellar & Intergalactic Media,Galactic Astronomy,Extragalactic Astronomy & Cosmology,High Energy Astrophysics,Theory and Computation,Instrumentation",Yes,http://www.astro.wisc.edu/about-us/employment-opportunities/,,,43.074761,-89.3837613
Northwestern University,https://physics.northwestern.edu,,"633 Clark St, Evanston, IL 60208美國","Theoretical Astrophysics and Observational Astronomy,",No,,,,42.05644189,-87.67545334
Nagoya University,https://www.phys.nagoya-u.ac.jp/en/study/stu.html,,"Furocho, Chikusa Ward, Nagoya, Aichi 464-8601日本",,Yes,,,,35.15348686,136.96809
University Of Washington,http://depts.washington.edu/astron/,"Communications Building 50 University of Washington #353765, Seattle, WA 98195美國",,,Yes,,,,47.65380128,-122.3109747
The University Of Melbourne,https://astro.physics.unimelb.edu.au,,Parkville VIC 3010澳洲,"Epoch of Reionisation,Galaxy Formation and Evolution,Inflation and the Early Universe,Gravitational Waves,Gravitational Lensing,SatellitesDark Energy,Cultural Astronomy,Neutron Stars and Black holes,Public Data Releases",Yes,,,,-37.79855782,144.9613924
The University Of Hong Kong,https://www.physics.hku.hk/research/research-groups/astrophysics,,香港薄扶林,"Astronomy and Astrophysics Group,",No,,,,22.28299889,114.1370097
University Of Southampton,http://www.astro.soton.ac.uk,,"Hartley Library B12, University Rd, Highfield, Southampton SO17 1BJ英國",,Yes,,,,50.93513622,-1.395931063
